,이름,평점,작성일,내용
2485,최유미,3/5,2023년 1월 22일,체험해보고 좋으면 결제를 하고 꾸준히 하려고 했는데 해보려면 결제하고 무료체험을 하라고 해서 결제하려고 했는데 이미 무료체험판을 썼다면서 사용하려면 결제를 해야만 하더라구요 전 이 앱을 처음 깔아보는데 무료체험을 해본적도 없고 약 13만원정도 되는 돈을 그냥 막 쓸 수도 없고 체험판이 왜 안되는 건지 잘 모르겠어요
2486,양세진,1/5,2021년 5월 24일,"구글 정기결제 신청을 안했는데, 왜 영국으로 우회 결제가 됩니까? 구독해지 버튼도 없고요. 정말 기분이 상합니다. 메일로 아이디 보냈습니다. 빠른 환불과 구독해지 해주세요."
2487,Ruth,5/5,2022년 1월 14일,영어로 말해야하는 상황에서 한마디 말도 내뱉지못할때 너무 속상했어요 여러방법을 통해 영어를 배우고 말해볼려고 했는데 수동적인 학습으로 막상 현장에 부딪치면 머릿속이 하예져서 아무말도 못했습니다 그런데 남편의 권유로 스픽을 접하고 제가 입밖으로 영어를 내뱉기 시작하면서 상황에 따라 말이 나오는걸 경험하고 있습니다 정말 놀라운 어플이고 영포자에게도 용기를 주는 어플인것 같아요 저는 스픽으로 인해 나도 말할수 있다는 걸 경험하고 용기를 얻었습니다^^
2488,Spectrum,1/5,2023년 1월 29일,"자유토픽으로 롤플레잉해보고 좋아서 프리미엄으로 결제했는데 결제 이후에는 음성 인식이 너무 안됩니다 무슨 말을 해도 잘 못 알아듣겠다고 나오고 3, what 이런식으로 아예 관련 없는 걸로 인식합니다 Ai 튜터라는게 아무런 의미가 없을 정도예요 빠른 개선 부탁드립니다"
2489,효동,5/5,2022년 10월 20일,"수업이 짧아서 좋은데, 한번에 여러개 수업을 연속적으로 들었으면 좋겠어요. ㅠㅠ 틀어놓고 일하고싶은데.."
2490,ᄒᄇᄒ,5/5,2021년 11월 11일,영작하는 것과 영작하는 동시에 스피킹하는 것을 어려워하고 실력이 늘고싶어서 해봤는데 기대이상으로 선생님들 너무 좋으시구 내용도 좋아서 앞으로도 재밌게 할 것 같습니다!! 꾸준히 열심히 해서 영어실력 꼭 키울게요!!🔥🔥
2491,Gyung Jin Shin,1/5,2021년 7월 16일,이거 다운 받으실 분들 조심하세요. 한번 둘러보려는 마음에 설치했다가 소리소문없이 십만원대 자동결제 들어갑니다. 몇주전 다운받아서 하루정도 둘러보고 바빠서 잊고 있었는데 아무 알림도 없이 연간이용권 129000원이 자동 결제 됐네요. 구글 플레이 구독앱 목록에 뜨지도 않아서 스스로 결제취소 못하고 있는 상황이고요. 메일 보냈는데 오래걸릴지도 모른다는 자동답장오네요. 보니까 결제 후 7일 넘어가면 환불도 까다로와지는거 같은데 무서워서 어디 앱 다운받겠습니까? 명색이 교육앱인데 이런식으로 운영하면 이미지만 안좋아질거 같은데요. 십수년전에 이런식으로 사람 망각을 활용해서 자동결제로 돈벌던 사이트들이 많았는데 아직도 이런게 있는줄 몰랐네요. 그것도 학생들이 사용하는 교육 앱에서. 중간에 선택 절차를 넣던지 알림을 주던지 하세요. 유사앱들 동시에 다운받았는데 이런 경우는 없던데 황당하네요.
2492,Emily Choi,2/5,2022년 10월 3일,재미삼아 시간보내는 용으로는 나쁘진안은데 음성인식이 잘 안되요 타앱은 조금 작게말해도 인식이 되던데... 항상 고래고래 소리지를수 있는 상황이 아니고 좀 그러네요 답답해서 못하겠어요
2493,김상희,5/5,2022년 7월 27일,애기 키우면서 영어를 같이 교육 하고싶은데 제가 너무 기초가 없어서 추천받아서 수업중입니다. 너무 재밌고 정말 너무 쉽고 유익하게 알려줌 👍👍👍 이걸 왜 이제서야 알게된거지
2494,Google 사용자,5/5,2020년 4월 22일,유용하네요 계속하게 되요!! 음성인식도 좋고 반복된 학습도 좋네요 영어가 빨리 늘었으면 좋겠어요!
2495,Darin,5/5,2021년 12월 13일,예전에 사용했을때 단조로웠던 시스템이 업그레이드 되면서 더 다양하고 만족스러운 스피킹 연습을 할수있게 되어서 만족해요.
2496,eunok kim,5/5,2021년 3월 4일,왕초보 단계부터 차곡차곡 점검해볼 수 있고 무엇보다 스피킹을 하면서 익힐 수 있어서 기억에 더 오래 남는 것 같아요. A I가 발음 인식을 잘 못하는 경우가 많이 있지만 그래도 재미있게 공부하고 있어요.
2497,Tv우팝인팝,1/5,2020년 7월 26일,"음성인식이 너무 안되네요. 짧을수록 더 안되요. 특히 한 음절짜리는 거의 안되네요. 고, 고우, 꼬, 꼬우, 거, 꺼 등등 어떤 발음으로해도 인식 안되요. 첫 강의 보고 결제했는데 환불 받고 싶네요."
2498,js kim,2/5,2022년 10월 18일,블루투스가 자주 끊기네요. 발음인식이 타이밍을 놓치면 통으로 인식을 못하고 날리개됩니다.
2499,SONG,4/5,2023년 7월 27일,왜 갤럭시에는 스마트리뷰기능이 없나요? 아이패드로 공부할때는 잘 사용하고있는 기능인데 안드로이드 어플에는 없으니까 불공평해요... 업데이트 예정은 없나요?
2500,Sophie Hwanhee Moon,5/5,2021년 12월 22일,"긴 시간 듣기 힘든데 짧은 시간에 실용적인 문장을 내것으로 만들 수 있고, 명쾌하고 재미있게 풀어 설명해줘서 맘에 쏙 들어요! :)"
2501,Google 사용자,3/5,2019년 8월 8일,"사용은 잘하고있는데 왜 리뷰탭이랑 녹음 확인 버튼이 안뜨는걸까요? 다른분들 사용후기를 봤는데, 그분들은 자기발음도 확인하고 리뷰탭도 있는 것 같더라구요. 앞쪽에 설명도 리뷰랑 녹음된 것 들어볼 수 았다고 했는데... 제가 설정같은걸따로 해야하나요?"
2502,추거누,5/5,2021년 1월 27일,무엇보다 영어 스피킹을 많이 할 수 있어서 좋습니다. 앱도 복잡하지 않고 깔끔하고 단순해서 좋구요.
2503,최성경,5/5,2021년 4월 16일,귀에 쏙쏙들어오는 동영상설명과 뎃글형식의 답변글들 기초부터 하나하나 다집고 넘어갈수있고 발음실력도 안늘을수 없어서 좋아요 추천합니다.
2504,chacha82,5/5,2022년 12월 6일,매년 영어 공부 계획 세우고 실패하는 이유는 의지의 문제나 시간이 없어서 등 다양하겠지만 진짜 스픽은 짧게 짧게 언제든지 가능하고 말도 많이 해야되서 실력이 조금씩 늘어나는 것 같은 그런 느낌?이 좋아서 정말 계속하게 되네요
2505,LongLegs Daddy,1/5,2022년 11월 20일,아무리 소리를 쳐도 제대로 인식을 못하는데 영어 배우려다 혈압 치솟겠어요.발음 똑바로 해도 몇번이고 인식못하면 어떻게 공부하라는건가요? 영어때문에 화나서 건강 잃겠네요. 문제점 있으면 바꿔줘야 되는거 아닌가요?
2506,조홍건,4/5,2021년 6월 8일,"스피킹에 최적화되어 있네요. 한국에서 만든 앱인줄 알았는데, 미국 원어민이 개발자라는 것도 흥미롭네요. 문장을 소리내어 읽으면서 발음도 다시 가다듬어 보고, 정리 단원에서는 실제 응용까지 꼼꼼하게 설계했네요. 선생님들과의 친절하고 자세한 Q&A는 보너스이네요."
2507,argent J,4/5,2021년 6월 8일,"무료체험 중인데 전에 평가 남기신 분 말처럼 저도 스피킹 연습하려는데 음성인식이 안되네요. 핸즈프리 끄기, 켜기도 건드려봤는데 여전히 음성인식이 안됩니다."
2508,Google 사용자,1/5,2019년 10월 24일,"정기결제가 3일후에 자동으로 되어서 바로 취소하기 위해 메일을 보냈으나, 2일째 답변은 없고, 무작정 기다려야 하는 상황이 황당하네요.... 일처리가 너무 느린것아닌가요? 며칠이 지나도록 여러통의 메일을 보냈지만 전혀 답변이 오고 있지 않아요. 결제는 자동으로 하고 이렇게 피드백이 안되면 소비자는 그냥 마냥 기다려야되는겁니까? 어디다 불만접수를 해야하는건가요? 소비자보호원에 신고라도 해야되는건가요?"
2509,Kang Kim,5/5,2022년 11월 22일,매일 꾸준히 하니까 fluency가 확실히 향상 됩니다. 그리고 그동안 저 발음이 얼마나 안좋았는지(콩글리쉬 스타일) 절실히 깨달았습니다. 꾸준히 열심히 스픽! 하고 있습니다. 감사합니다
2510,수이삭,3/5,2021년 9월 8일,음성인식오류가 심해서 다음으로 넘어가지가않아요 이틀동안 제자리입니다.. 다시듣기 버튼을 누르면 좀되다가 먹통되고 ㅜㅜ 개선해주세요 환불할려다가 그냥하기로 했는데 앱오류 개선 안되면 환불할려구요
2511,SKY,4/5,2021년 4월 23일,"핸드폰을 바꿔서 다시 설치하고 사용하는데 아이폰과 달린 스피킹하고 넘어가는데 1, 2초 정도의 로딩이 필요하네요 그 부분 빼고는 아이폰이든 안드로이드폰이든 스픽 넘 좋아요!!!"
2512,SUKYOON OH (Nick),2/5,2020년 8월 6일,"수업 방식은 너무 괜찮은데, 음성인식 기능에 문제가 있는것 같습니다. 작정하고 Eat, go 만 100번 해봤는데도 안되요.."
2513,IJ JJO,1/5,2022년 3월 2일,무료체험 중 취소하고 삭제했는데 1년치 구독비가 결제되었습니다..무료체험 기간에 취소했어서 2월 6일에 구독료가 결제된지도 몰랐고 결제된 이후로 사용한 적이 없어 환불 요청드리고자합니다.ㅜㅜ
2514,CHAM CHAM,5/5,2021년 12월 14일,매번 느끼는 부분이 that these those 인식이 잘 안되네요. 오버해서 백번씩 반복하는 것 같은데 그러면 한두번 인식되서 다음으로 넘어가고 있어요. 항상 이럴땐 화가 조금씩 나고 그렇네여. 쯥
2515,박성호,5/5,2023년 8월 15일,영어 공부엔 도움이 되는거 같아요 다만 ai 튜터 기능이 오류가 자주 발생하네요;; 오류 발생하면 학습기록이 저장되지 않아 처음부터 다시 시작해야 되는게 너무 불편하네요
2516,Ha Yoon Jin,5/5,2022년 2월 18일,"스피킹에 확실한 도움이 되네요! 특히 지하철에서 5분, 10분 하는데 소리 안나는 지하철모드가 유용하네요ㅎ 제 딸도 시켜줬더니 재밌다고 하네요. 이렇게 재미있는 앱 만들어주셔서 감사합니다!"
2517,김효철,3/5,2023년 1월 28일,"음성 인식이 너무 구린 것 같네요. 유료결제했는데, 인식이 잘 안 되어서 연습 구간 넘어가는 걸 기다리고 있어요. 걱정이네요."
2518,Google 사용자,4/5,2019년 5월 28일,스피크가 필요해 무료3일수강부터 하는데 그냥 무작정 따라하는게아니라 빈칸도만들어 생각하면서 배우게하는점이 좋았어요ㅎ별한개는 앞으로도 써보고 결정하려구 남겨놨는데 첫수업은 딱 제수준! 가볍게 들어갈수있어서 좋아요ㅎㅎ
2519,양인서,5/5,2021년 12월 30일,단어 인식하는 속도가 너무 빨라서 문장의 마지막 단어가 녹음이 끝까지 안되네요! 마지막 단어의 발음을 참고용으로 듣고싶은데 들을 수 없어서 조금 아쉽습니다.
2520,노길환,5/5,2023년 1월 20일,모든 기능은 참 좋습니다. 다만 헤드셋이나 이어폰 끼고 사용 할 때 내 발음 다시 들으면 너무 작아요..
2521,TRACY HER,3/5,2022년 5월 10일,"아... 해외에서 15년 넘게 살다 왔고 근래 영어 쓸일이 적어 감 익히느랴 설치했는데요, 연음 또는 묵음 또는 빨리 말하면 자꾸 중간 단어가 음성인식 캐치가 안되는 경우가 잦아서 짜증나요... 다시 제거합니다"
2522,은성화,5/5,2022년 12월 23일,인생 최고의 영어앱!! 1년동안 꾸준히 해본 결과 문장구성이 자연스러워지고 발음도 진짜 좋아졌어요. 여전히 버벅대지만 영어 자신감만은 인생 최고조!!
2523,박영환,1/5,2023년 1월 12일,"2020년 12월부터 연간 회원권 결제해서 사용중인데, 오늘 갑자기 프리미엄 회원이 아닌것으로 나와서 로그아웃하고 다시 로그인하려고 하니 안 들어가지고 처음부터 다시 시작하라고 하니 황당합니다. 확인 부탁드립니다. 이어서.. 고객센터가 챗봇인데, 오류 문의 올렸습니다. 정확한 설명을 할 수가 없네요. 시스템 자체가.. 질문을 한정해 두고 선택하는 방식이어서요."
2524,Hayeon Seo,5/5,2022년 10월 14일,앱 너무 좋아요. 소음이 조금 있는 곳에서 음성인식이 잘 됐으면 좋겠어요. 그래도 업데이트 후 개선된 것 같습니다
2525,Choker (Gand),4/5,2023년 3월 5일,혹시 화면 회전기능을 추가해줬으면 합니다! 충전하면서 하거나 이어폰을 꽃으면서 할때를 위해서 부탁드립니다!
2526,Google 사용자,3/5,2019년 12월 23일,반복하면서 쉽게 익혀질거같은데. 어플깔자마자 결제하라는 창은 닫고 그냥 무료체험으로 영상3개정도 보고 닫았는데 자동결제된다고 리뷰가 많아서 걱정이 됩니다 핸드폰소액결제로 되는건가요?
2527,피싱캠,5/5,2023년 1월 24일,어떠한 강의보다 집중되고 기억이 오래되는 영어 수업이라 생각됩니다. 아주 우수한 어플입니다.
2528,장명환,3/5,2022년 12월 26일,음성인식이 특정 단어에서 인식율이 너무 떨어져서 아쉬워요. 이부분 많은 개선이 필요해요.
2529,J,5/5,2021년 1월 29일,잘 쓰고 있어요 컨텐츠도 좋구요 스피킹 공부 진짜 재밌어요 다만 가끔 인식이 안돼서 학습의욕이 저하되는 경우가.... 쓴지 한달도 안됐는데 꽤 자주 일어나는 것 같네요
2530,Google 사용자,5/5,2020년 2월 14일,너무 좋아서 16만원에 1년 정기결제하고 오늘부터 3일동안 무료 체험이라고 하더라구요! 무료체험기간 전이랑 정기결제 전에 취소하면 환불 된다고 하던데 만약 6개월정도 사용하다가 환불하면 5~8만원정도 돌려받을 수 있나요? 정확한 환불규정을 알고 싶어요 !
2531,Google 사용자,5/5,2019년 6월 27일,오랜만에 업데이트 했더니 앱 너무 이뻐지곡 좋아진거 같ㅇㅐ요! 인식도 더 잘돼는 거 같고… 근데 가격이 예전보다 많이 올라서… 고민 좀하다가… 가격더 올라가기 전에 결제했어요 ㅠ 콘텐츠 많이 올려주세요 !!
2532,Google 사용자,5/5,2019년 5월 27일,영어공부를 일방적으로 강의 듣는게 아니라 양방향 소통으로 할 수 있어서 웬만한 학원다닐때보다 스피킹할수있는 기회가 많은거같아요
2533,로즈릴리,3/5,2021년 12월 18일,두번째 세번째 표현이 너무 단조롭습니다. 같은 말만 네번씩 반복하고.. 좀 더 다양한 표현이 들어갔으면 좋겠어요.
